iter	Passed	Remaining
0	162	324266
1	273	273405
2	389	259608
3	500	249846
4	629	251063
5	745	247656
6	888	252941
7	1034	257644
8	1176	260352
9	1355	269787
10	1513	273683
11	1674	277442
12	1829	279639
13	1986	281817
14	2142	283500
15	2301	285425
16	2461	287104
17	2612	287700
18	2771	289004
19	2925	289629
20	3075	289816
21	3213	288903
22	3362	289031
23	3502	288387
24	3646	288108
25	3789	287707
26	3946	288385
27	4098	288655
28	4244	288479
29	4379	287584
30	4524	287356
31	4654	286271
32	4798	285993
33	4935	285412
34	5065	284390
35	5221	284850
36	5395	286252
37	5539	286024
38	5685	285868
39	5845	286445
40	5986	286020
41	6127	285670
42	6269	285331
43	6409	284935
44	6554	284750
45	6717	285341
46	6860	285074
47	7007	284987
48	7153	284818
49	7296	284567
50	7435	284161
51	7577	283861
52	7733	284114
53	7877	283882
54	8022	283699
55	8172	283704
56	8301	282987
57	8438	282546
58	8574	282071
59	8723	282062
60	8853	281419
61	8989	280998
62	9132	280802
63	9275	280587
64	9411	280173
65	9553	279952
66	9691	279605
67	9833	279396
68	9983	279386
69	10114	278881
70	10252	278563
71	10396	278395
72	10534	278069
73	10680	277988
74	10815	277597
75	10946	277120
76	11084	276822
77	11226	276621
78	11366	276385
79	11502	276066
80	11641	275808
81	11779	275522
82	11924	275422
83	12072	275372
84	12215	275206
85	12363	275157
86	12510	275085
87	12662	275132
88	12808	275024
89	12946	274761
90	13091	274629
91	13220	274182
92	13356	273871
93	13502	273784
94	13641	273544
95	13778	273265
96	13924	273186
97	14068	273046
98	14213	272931
99	14356	272776
100	14498	272603
101	14656	272735
102	14797	272536
103	14938	272331
104	15079	272145
105	15222	271992
106	15358	271721
107	15505	271641
108	15663	271734
109	15795	271389
110	15930	271107
111	16071	270912
112	16218	270835
113	16347	270445
114	16495	270386
115	16636	270204
116	16767	269857
117	16894	269452
118	17026	269139
119	17151	268700
120	17285	268424
121	17416	268106
122	17548	267795
123	17682	267521
124	17812	267184
125	17956	267061
126	18079	266633
127	18208	266305
128	18357	266253
129	18482	265868
130	18607	265480
131	18733	265102
132	18861	264775
133	19002	264619
134	19128	264256
135	19255	263914
136	19393	263727
137	19525	263447
138	19664	263275
139	19795	262992
140	19924	262688
141	20062	262509
142	20196	262266
143	20334	262084
144	20464	261804
145	20606	261671
146	20737	261407
147	20860	261042
148	20985	260696
149	21105	260301
150	21234	260011
151	21365	259754
152	21496	259497
153	21642	259425
154	21773	259172
155	21929	259216
156	22064	259007
157	22206	258885
158	22342	258699
159	22480	258524
160	22607	258228
161	22731	257906
162	22862	257653
163	22998	257471
164	23124	257173
165	23248	256858
166	23377	256587
167	23515	256432
168	23662	256365
169	23790	256099
170	23925	255909
171	24048	255589
172	24198	255549
173	24324	255266
174	24456	255045
175	24591	254860
176	24720	254609
177	24853	254402
178	24984	254172
179	25105	253841
180	25232	253580
181	25357	253298
182	25493	253127
183	25632	252981
184	25772	252850
185	25904	252640
186	26043	252499
187	26174	252280
188	26308	252092
189	26442	251898
190	26575	251699
191	26709	251511
192	26838	251281
193	26975	251121
194	27110	250950
195	27253	250846
196	27375	250545
197	27502	250302
198	27630	250065
199	27763	249873
200	27898	249694
201	28014	249354
202	28148	249173
203	28275	248939
204	28417	248830
205	28555	248680
206	28691	248522
207	28831	248396
208	28965	248218
209	29092	247974
210	29224	247782
211	29356	247595
212	29496	247468
213	29633	247317
214	29776	247217
215	29915	247076
216	30049	246901
217	30188	246766
218	30331	246664
219	30468	246516
220	30599	246317
221	30744	246235
222	30895	246194
223	31062	246281
224	31215	246253
225	31346	246052
226	31509	246110
227	31648	245967
228	31774	245732
229	31914	245604
230	32043	245390
231	32190	245310
232	32335	245223
233	32482	245142
234	32612	244942
235	32743	244741
236	32863	244464
237	32992	244256
238	33127	244088
239	33256	243879
240	33391	243713
241	33536	243621
242	33687	243578
243	33827	243450
244	33953	243218
245	34090	243068
246	34227	242920
247	34371	242819
248	34498	242599
249	34636	242455
250	34774	242313
251	34921	242232
252	35046	242001
253	35183	241851
254	35319	241694
255	35446	241478
256	35574	241269
257	35718	241166
258	35842	240933
259	35972	240742
260	36108	240585
261	36242	240421
262	36373	240227
263	36512	240097
264	36656	239995
265	36785	239798
266	36917	239621
267	37064	239534
268	37202	239395
269	37334	239218
270	37475	239094
271	37613	238954
272	37755	238840
273	37889	238673
274	38026	238527
275	38148	238292
276	38284	238139
277	38419	237981
278	38563	237876
279	38690	237670
280	38825	237512
281	38965	237387
282	39104	237253
283	39236	237078
284	39384	236995
285	39518	236834
286	39663	236739
287	39808	236636
288	39944	236490
289	40080	236334
290	40216	236184
291	40344	235990
292	40484	235859
293	40616	235689
294	40740	235463
295	40882	235352
296	41031	235275
297	41175	235170
298	41308	235001
299	41440	234831
300	41580	234699
301	41732	234640
302	41860	234446
303	42016	234409
304	42151	234252
305	42298	234162
306	42431	233995
307	42571	233866
308	42708	233722
309	42841	233554
310	42984	233441
311	43124	233312
312	43270	233216
313	43412	233101
314	43551	232967
315	43701	232890
316	43845	232781
317	43978	232616
318	44113	232459
319	44232	232218
320	44371	232086
321	44510	231949
322	44632	231730
323	44764	231558
324	44893	231373
325	45032	231241
326	45164	231068
327	45297	230908
328	45428	230732
329	45555	230540
330	45693	230399
331	45832	230267
332	45974	230150
333	46125	230076
334	46260	229923
335	46396	229771
336	46530	229617
337	46667	229470
338	46802	229316
339	46957	229261
340	47097	229134
341	47232	228980
342	47372	228851
343	47520	228759
344	47684	228749
345	47832	228656
346	47967	228500
347	48107	228373
348	48242	228217
349	48379	228073
350	48521	227953
351	48662	227829
352	48819	227779
353	48962	227662
354	49113	227582
355	49250	227438
356	49383	227276
357	49533	227191
358	49677	227079
359	49829	226999
360	49960	226830
361	50098	226688
362	50253	226623
363	50391	226483
364	50532	226356
365	50685	226283
366	50823	226145
367	50949	225948
368	51085	225800
369	51225	225669
370	51352	225480
371	51477	225283
372	51618	225157
373	51759	225028
374	51896	224884
375	52045	224790
376	52182	224645
377	52323	224519
378	52456	224360
379	52592	224209
380	52733	224082
381	52863	223909
382	52992	223728
383	53126	223576
384	53273	223471
385	53418	223362
386	53552	223205
387	53700	223104
388	53841	222976
389	53971	222806
390	54123	222721
391	54253	222548
392	54387	222393
393	54523	222243
394	54662	222110
395	54795	221949
396	54932	221804
397	55080	221704
398	55210	221531
399	55353	221414
400	55476	221212
401	55626	221121
402	55766	220991
403	55905	220855
404	56050	220741
405	56185	220588
406	56331	220481
407	56464	220321
408	56603	220186
409	56749	220076
410	56904	220003
411	57041	219859
412	57177	219711
413	57330	219629
414	57467	219483
415	57619	219398
416	57760	219268
417	57903	219147
418	58041	219006
419	58184	218883
420	58339	218807
421	58481	218682
422	58622	218550
423	58773	218458
424	58888	218232
425	59024	218084
426	59162	217944
427	59291	217770
428	59435	217653
429	59553	217439
430	59694	217309
431	59829	217158
432	59962	216999
433	60104	216874
434	60249	216759
435	60400	216667
436	60538	216527
437	60683	216411
438	60821	216270
439	60972	216173
440	61118	216061
441	61263	215946
442	61406	215825
443	61548	215695
444	61689	215568
445	61828	215429
446	61976	215323
447	62119	215198
448	62260	215068
449	62408	214962
450	62543	214812
451	62684	214678
452	62830	214567
453	62967	214423
454	63112	214305
455	63250	214164
456	63393	214039
457	63542	213936
458	63683	213803
459	63827	213681
460	63974	213571
461	64124	213471
462	64259	213320
463	64406	213206
464	64553	213094
465	64702	212992
466	64846	212869
467	64994	212759
468	65147	212665
469	65281	212512
470	65421	212377
471	65561	212241
472	65702	212109
473	65848	211992
474	65997	211886
475	66141	211764
476	66283	211635
477	66422	211497
478	66578	211410
479	66727	211305
480	66875	211192
481	67015	211056
482	67155	210920
483	67295	210783
484	67447	210687
485	67591	210562
486	67745	210470
487	67890	210347
488	68034	210223
489	68179	210105
490	68325	209984
491	68479	209893
492	68631	209792
493	68761	209625
494	68917	209536
495	69054	209391
496	69201	209274
497	69349	209161
498	69495	209043
499	69647	208941
500	69802	208851
501	69950	208736
502	70091	208602
503	70241	208495
504	70379	208350
505	70526	208233
506	70675	208122
507	70814	207983
508	70960	207862
509	71105	207738
510	71245	207603
511	71388	207471
512	71531	207344
513	71673	207210
514	71823	207103
515	71969	206981
516	72093	206798
517	72242	206685
518	72393	206578
519	72527	206425
520	72681	206326
521	72833	206220
522	72985	206117
523	73125	205978
524	73286	205899
525	73431	205776
526	73585	205676
527	73743	205587
528	73884	205450
529	74013	205281
530	74162	205168
531	74315	205065
532	74448	204908
533	74589	204770
534	74730	204635
535	74870	204496
536	75024	204396
537	75162	204251
538	75310	204135
539	75471	204053
540	75624	203947
541	75764	203810
542	75912	203690
543	76055	203559
544	76218	203481
545	76356	203337
546	76510	203236
547	76647	203086
548	76785	202941
549	76931	202819
550	77080	202703
551	77222	202570
552	77378	202472
553	77524	202346
554	77677	202241
555	77822	202114
556	77971	201996
557	78126	201895
558	78287	201809
559	78443	201712
560	78592	201595
561	78741	201476
562	78898	201381
563	79049	201267
564	79183	201112
565	79331	200991
566	79482	200879
567	79646	200799
568	79781	200644
569	79943	200560
570	80095	200449
571	80235	200307
572	80384	200188
573	80551	200115
574	80712	200025
575	80868	199924
576	81013	199796
577	81167	199689
578	81313	199561
579	81463	199444
580	81600	199296
581	81752	199184
582	81919	199106
583	82078	199011
584	82232	198905
585	82400	198830
586	82563	198744
587	82722	198646
588	82868	198519
589	83027	198420
590	83154	198249
591	83296	198111
592	83448	197995
593	83617	197922
594	83766	197802
595	83919	197689
596	84066	197564
597	84224	197463
598	84366	197323
599	84507	197183
600	84664	197081
601	84816	196966
602	84966	196845
603	85120	196735
604	85247	196562
605	85390	196426
606	85539	196303
607	85678	196157
608	85833	196050
609	85976	195914
610	86133	195810
611	86274	195669
612	86424	195547
613	86560	195396
614	86709	195271
615	86840	195110
616	86991	194990
617	87147	194883
618	87299	194767
619	87458	194665
620	87609	194546
621	87778	194468
622	87916	194320
623	88076	194219
624	88231	194110
625	88369	193961
626	88520	193841
627	88669	193716
628	88824	193605
629	88979	193494
630	89122	193357
631	89263	193215
632	89409	193084
633	89570	192986
634	89708	192838
635	89860	192718
636	90019	192616
637	90162	192479
638	90292	192313
639	90445	192196
640	90592	192068
641	90744	191949
642	90899	191835
643	91052	191719
644	91204	191600
645	91350	191469
646	91488	191320
647	91635	191189
648	91762	191018
649	91908	190886
650	92063	190774
651	92216	190655
652	92361	190521
653	92511	190399
654	92657	190266
655	92806	190140
656	92971	190046
657	93122	189923
658	93263	189781
659	93423	189677
660	93577	189562
661	93735	189453
662	93895	189348
663	94062	189259
664	94217	189144
665	94371	189026
666	94530	188919
667	94678	188790
668	94826	188660
669	94970	188523
670	95133	188423
671	95285	188302
672	95443	188191
673	95599	188077
674	95756	187967
675	95914	187856
676	96064	187730
677	96221	187618
678	96365	187479
679	96520	187362
680	96670	187237
681	96826	187122
682	96981	187004
683	97135	186885
684	97275	186741
685	97432	186628
686	97583	186503
687	97734	186378
688	97889	186259
689	98040	186134
690	98193	186012
691	98344	185887
692	98478	185731
693	98633	185612
694	98786	185490
695	98932	185355
696	99082	185229
697	99230	185097
698	99373	184957
699	99519	184822
700	99666	184688
701	99820	184568
702	99974	184447
703	100131	184332
704	100284	184210
705	100436	184085
706	100578	183944
707	100732	183822
708	100894	183716
709	101048	183595
710	101205	183480
711	101350	183342
712	101484	183184
713	101619	183029
714	101782	182923
715	101934	182798
716	102065	182636
717	102213	182503
718	102355	182361
719	102500	182222
720	102653	182099
721	102816	181994
722	102968	181867
723	103116	181734
724	103264	181602
725	103416	181477
726	103577	181368
727	103711	181210
728	103846	181055
729	103981	180898
730	104104	180723
731	104224	180542
732	104350	180371
