feature,mean,median,std,skew,kurtosis,min,max
loan_to_income_ratio,2387.5623,1994.2196,7832.1265,111.39448,19201.69,4.198153,2.005e+06
income,141.29613,104.0,140.90987,3.9608545,21.815172,0.0,1191.0
loan_amount,270897.5,205000.0,268739.8,2.8944054,12.738525,5000.0,2.005e+06
property_value,503937.06,385000.0,450977.38,3.522038,17.365341,5000.0,3.635e+06
loan_to_value_ratio,73.203026,78.767,23.58343,-0.32753232,5.582701,0.001,500.0
debt_to_income_ratio,42.862846,43.0,3.9988098,-0.045297623,-1.1453362,36.0,49.0
interest_rate,7.116778,6.875,1.7043897,0.26696527,4.295004,0.0,14.875
rate_spread,0.49258026,0.321,1.5761378,-0.018170053,6.8742914,-8.14,7.95
loan_term,319.21045,360.0,84.0983,-1.7416755,3.166388,1.0,3292.0
tract_population,4763.5894,4521.0,2154.5952,2.0424087,13.958332,0.0,30199.0
tract_minority_population_percent,36.18545,28.89,25.83283,0.8168735,-0.35119575,0.0,100.0
ffiec_msa_md_median_family_income,99436.67,98200.0,23333.281,0.140654,3.3375144,0.0,201300.0
tract_to_msa_income_percentage,108.62958,104.0,41.8066,0.7768252,2.6366527,0.0,516.0
tract_owner_occupied_units,1219.4563,1170.0,579.5578,0.7919181,2.3446577,0.0,6276.0
tract_one_to_four_family_homes,1647.9064,1608.0,688.0094,0.76363677,3.309277,0.0,8233.0
tract_median_age_of_housing_units,35.818565,35.0,18.302256,0.06265522,-0.5355738,-1.0,80.0
